start_station_name,date,num_trips
Harry Bridges Plaza (Ferry Building),8/22/2014,67
Harry Bridges Plaza (Ferry Building),5/7/2015,59
Harry Bridges Plaza (Ferry Building),7/22/2016,56
Harry Bridges Plaza (Ferry Building),9/28/2013,46
Harry Bridges Plaza (Ferry Building),7/23/2014,50
Harry Bridges Plaza (Ferry Building),6/15/2014,48
Harry Bridges Plaza (Ferry Building),5/27/2014,48
Harry Bridges Plaza (Ferry Building),5/26/2014,42
Harry Bridges Plaza (Ferry Building),3/29/2015,30
Harry Bridges Plaza (Ferry Building),3/11/2015,67
Harry Bridges Plaza (Ferry Building),9/16/2015,68
Harry Bridges Plaza (Ferry Building),4/6/2016,60
Harry Bridges Plaza (Ferry Building),1/16/2014,46
Harry Bridges Plaza (Ferry Building),1/29/2014,44
Harry Bridges Plaza (Ferry Building),7/9/2015,64
Harry Bridges Plaza (Ferry Building),9/12/2013,59
Harry Bridges Plaza (Ferry Building),9/24/2013,23
Harry Bridges Plaza (Ferry Building),7/14/2015,59
Harry Bridges Plaza (Ferry Building),6/20/2015,36
Harry Bridges Plaza (Ferry Building),2/1/2016,35
Harry Bridges Plaza (Ferry Building),3/8/2016,68
Harry Bridges Plaza (Ferry Building),1/6/2014,32
Harry Bridges Plaza (Ferry Building),7/9/2014,60
Harry Bridges Plaza (Ferry Building),4/13/2015,58
Harry Bridges Plaza (Ferry Building),8/9/2016,76
Harry Bridges Plaza (Ferry Building),12/5/2013,45
Harry Bridges Plaza (Ferry Building),1/13/2014,38
Harry Bridges Plaza (Ferry Building),5/13/2016,61
Harry Bridges Plaza (Ferry Building),6/15/2016,67
Harry Bridges Plaza (Ferry Building),8/10/2016,65
Harry Bridges Plaza (Ferry Building),8/21/2016,24
Harry Bridges Plaza (Ferry Building),10/29/2013,28
Harry Bridges Plaza (Ferry Building),7/2/2015,45
Harry Bridges Plaza (Ferry Building),11/2/2015,60
Harry Bridges Plaza (Ferry Building),10/13/2013,34
Harry Bridges Plaza (Ferry Building),2/9/2014,2
Harry Bridges Plaza (Ferry Building),6/2/2014,45
Harry Bridges Plaza (Ferry Building),3/21/2014,41
Harry Bridges Plaza (Ferry Building),8/14/2015,63
Harry Bridges Plaza (Ferry Building),1/24/2015,34
Harry Bridges Plaza (Ferry Building),1/15/2015,50
Harry Bridges Plaza (Ferry Building),9/1/2015,65
Harry Bridges Plaza (Ferry Building),10/24/2015,27
Harry Bridges Plaza (Ferry Building),11/17/2015,56
Harry Bridges Plaza (Ferry Building),7/28/2016,49
Harry Bridges Plaza (Ferry Building),8/14/2014,57
Harry Bridges Plaza (Ferry Building),8/7/2014,55
Harry Bridges Plaza (Ferry Building),6/10/2014,58
Harry Bridges Plaza (Ferry Building),5/30/2014,56
